id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,room_size,total_baths,total_area,total_porch_area,age
1044,527451290,160,RM,21.0,1680,1,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,TA,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,Typ,0,None,Detchd,Unf,264.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,7,2008,COD,85400,246.75,2.0,1734.0,0,37
2752,906380150,20,RL,64.0,7488,1,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,Ex,1,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,Gd,Typ,0,None,Attchd,RFn,632.0,TA,TA,Y,105,58,0,0,0,0,None,None,None,0,2,2006,WD ,183600,201.33333333333334,2.0,3048.0,163,1
807,906226060,70,RL,120.0,26400,1,None,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,None,None,None,None,0.0,None,0.0,0.0,0.0,GasA,Ex,1,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,Mod,1,TA,Attchd,Unf,576.0,TA,TA,P,0,0,0,0,0,0,None,None,None,0,6,2009,WD ,131000,288.0,1.0,2592.0,0,129
1177,533236070,160,FV,24.0,2645,1,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,Ex,1,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,Gd,Typ,0,None,Detchd,Unf,480.0,TA,TA,Y,169,0,0,0,0,0,None,None,None,0,12,2008,ConLD,200000,229.57142857142858,4.0,3047.0,169,9
1480,907418040,20,RL,74.0,9627,1,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,Ex,1,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,Gd,Typ,0,None,Attchd,RFn,610.0,TA,TA,Y,0,50,0,0,0,0,None,None,None,0,6,2008,WD ,193000,226.83333333333334,2.0,3322.0,50,1
324,923202105,20,RL,93.0,10114,1,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,Ex,1,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,Typ,0,None,Attchd,RFn,624.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,3,2010,WD ,173500,204.28571428571428,2.0,3484.0,0,6
1311,902301140,70,RM,34.0,4571,1,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Fa,0,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,TA,Typ,0,None,Detchd,Unf,513.0,Fa,Fa,Y,0,0,96,0,0,0,None,None,None,0,5,2008,COD,98000,192.0,1.0,2481.0,0,92
770,905101490,20,RL,80.0,8816,1,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,TA,1,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,TA,Typ,0,None,Detchd,Unf,480.0,TA,TA,Y,0,80,0,0,0,0,None,MnPrv,None,0,6,2009,WD ,139000,224.2,2.0,2722.0,80,46
2063,905107140,20,RL,71.0,8197,1,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,Ex,1,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,TA,Typ,1,TA,Attchd,RFn,528.0,TA,TA,Y,138,0,0,0,0,0,None,MnPrv,None,0,4,2007,WD ,143500,183.57142857142858,2.0,2473.0,138,30
69,528458070,60,FV,72.0,8640,1,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,Ex,1,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,Gd,Typ,0,None,Attchd,Unf,614.0,TA,TA,Y,169,45,0,0,0,0,None,None,None,0,6,2010,Con,215200,221.0,3.0,2917.0,214,1
2062,905106150,20,RL,109.0,8724,1,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,Gd,1,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,TA,Typ,1,Po,Attchd,Fin,450.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,5,2007,WD ,129000,178.8,1.0,2238.0,0,39
351,527131030,120,RL,40.0,5664,1,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,Ex,1,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,Ex,Typ,1,Ex,Attchd,Fin,499.0,TA,TA,Y,212,59,0,0,0,0,None,None,None,0,10,2009,WD ,278000,331.8,3.0,3659.0,271,9
2393,528142010,60,RL,103.0,12867,1,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,BrkFace,275.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,Ex,1,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,Ex,Typ,1,Gd,Attchd,Fin,575.0,TA,TA,Y,243,142,0,0,0,0,None,None,None,0,7,2006,New,344133,281.625,3.0,4037.0,385,1
12,527165230,20,RL,73.48551236749117,7980,1,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,1,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,Typ,0,None,Attchd,Fin,420.0,TA,TA,Y,483,21,0,0,0,0,None,GdPrv,Shed,500,3,2010,WD ,185000,197.83333333333334,3.0,2775.0,504,18
2339,527250040,190,RL,100.0,34650,1,None,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,TA,0,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,Typ,0,None,Attchd,Fin,572.0,TA,TA,Y,264,0,0,0,0,0,None,None,None,0,1,2006,WD ,145000,211.2,2.0,2684.0,264,51
624,535104120,20,RL,92.0,10573,1,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,Ex,1,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,TA,Typ,1,TA,Attchd,RFn,530.0,TA,TA,Y,0,49,0,0,288,0,None,GdPrv,None,0,4,2009,WD ,187500,242.16666666666666,3.0,3436.0,337,48
86,532376160,20,RL,65.0,8450,1,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,Ex,1,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,TA,Typ,1,Gd,Detchd,Unf,336.0,TA,TA,Y,416,144,0,0,0,0,None,MnPrv,None,0,4,2010,WD ,138500,178.8,2.0,2124.0,560,45
1534,909277040,50,RL,73.48551236749117,11700,1,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,Ex,1,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,Gd,Min2,1,Gd,Detchd,Unf,240.0,TA,TA,Y,0,40,0,0,0,0,None,None,None,0,7,2008,WD ,198000,276.85714285714283,2.0,3120.0,40,71
2243,911103060,190,C (all),75.0,8250,1,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,957.0,GasA,Fa,0,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,TA,Typ,0,None,None,None,0.0,None,None,N,0,0,133,0,0,0,None,None,None,0,6,2007,WD ,119600,221.22222222222223,2.0,2948.0,0,112
1957,535450190,50,RL,60.0,8064,1,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,1,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,TA,Typ,1,Po,Detchd,Unf,576.0,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,Shed,2000,7,2007,WD ,122900,154.0,1.0,2172.0,0,58
380,527355150,20,RL,80.0,9600,1,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,TA,1,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,Gd,Typ,1,Gd,Attchd,Fin,542.0,TA,TA,Y,474,120,0,0,0,0,None,MnPrv,None,0,7,2009,WD ,278000,280.44444444444446,4.0,5590.0,594,28
2860,909276010,70,RL,73.48551236749117,11435,1,None,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,792.0,GasA,Fa,1,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,Gd,Typ,2,Gd,Detchd,Unf,400.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,6,2006,WD ,230000,216.71428571428572,1.0,2709.0,0,77
2517,533250130,120,RL,30.0,9549,1,None,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1057.0,0.0,1494.0,GasA,Ex,1,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,Ex,Typ,1,Gd,Attchd,Fin,481.0,TA,TA,Y,0,30,0,0,216,0,None,None,None,0,4,2006,WD ,270000,249.0,3.0,3469.0,246,11
1933,535302070,20,RL,60.0,10950,1,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,0.0,507.0,948.0,GasA,TA,1,SBrkr,948,0,0,948,0.0,0.0,1,0,2,1,TA,Typ,0,None,Detchd,Unf,410.0,TA,TA,N,0,48,0,0,0,0,None,None,None,0,4,2007,WD ,125000,189.6,1.0,2306.0,48,55
820,906340110,20,RL,79.0,10637,1,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,0.0,417.0,1705.0,GasA,Ex,1,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,826.0,TA,TA,Y,208,44,0,0,0,0,None,None,None,0,9,2009,WD ,297000,245.42857142857142,3.0,4249.0,252,2
675,535426150,20,RL,80.0,9000,1,None,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,0.0,160.0,160.0,GasA,Fa,1,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2,1,TA,Typ,1,Gd,Basment,RFn,384.0,TA,TA,Y,0,28,64,0,0,0,None,None,None,0,4,2009,WD ,113500,228.4,1.0,1686.0,28,51
2910,923225240,160,RM,41.0,2665,1,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,173.0,36.0,757.0,GasA,Ex,1,SBrkr,925,550,0,1475,0.0,0.0,2,0,4,1,TA,Typ,1,TA,Attchd,RFn,336.0,TA,TA,Y,104,26,0,0,0,0,None,None,None,0,7,2006,WD ,127000,245.83333333333334,2.0,2568.0,130,29
21,527358140,20,RL,105.0,11751,1,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Ex,1,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,TA,Typ,1,TA,Attchd,RFn,546.0,TA,TA,Y,0,122,0,0,0,0,None,MnPrv,None,0,1,2010,COD,190000,263.42857142857144,2.0,4234.0,122,33
1873,534177210,20,RL,80.0,9600,1,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,0.0,326.0,1242.0,GasA,Fa,1,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,TA,Typ,1,TA,Attchd,Unf,528.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,9,2007,WD ,175500,207.0,2.0,3012.0,0,34
2125,907135050,20,RL,60.0,8428,1,None,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,Unf,0.0,570.0,990.0,GasA,Ex,1,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,TA,Typ,0,None,Detchd,Unf,384.0,TA,TA,Y,256,0,0,0,0,0,None,None,None,0,7,2007,WD ,146000,198.0,2.0,2364.0,256,13
1489,908102260,20,RL,75.0,9937,1,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,LwQ,290.0,136.0,1256.0,GasA,Gd,1,SBrkr,1256,0,0,1256,1.0,0.0,1,1,3,1,TA,Typ,0,None,Attchd,Fin,276.0,TA,TA,Y,736,68,0,0,0,0,None,None,None,0,6,2008,WD ,147500,209.33333333333334,3.0,2788.0,804,43
2383,528110050,20,RL,107.0,13891,1,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,275.0,Ex,TA,PConc,Ex,Gd,Gd,GLQ,1386.0,Unf,0.0,690.0,2076.0,GasA,Ex,1,SBrkr,2076,0,0,2076,1.0,0.0,2,1,2,1,Ex,Typ,1,Gd,Attchd,Fin,850.0,TA,TA,Y,216,229,0,0,0,0,None,None,None,0,9,2006,New,465000,296.57142857142856,4.0,5002.0,445,0
983,923275040,85,RL,73.48551236749117,9101,1,None,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,0.0,0.0,1097.0,GasA,Ex,1,SBrkr,1110,0,0,1110,1.0,0.0,1,0,1,1,Gd,Typ,1,TA,Attchd,Fin,602.0,TA,TA,Y,303,30,0,0,0,0,None,None,None,0,7,2009,WD ,165500,277.5,2.0,2809.0,333,31
1325,902406090,50,RM,81.0,12150,1,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1050.0,1050.0,GasA,Ex,0,FuseF,1050,745,0,1795,0.0,0.0,2,0,4,1,TA,Typ,0,None,Attchd,Unf,352.0,Fa,TA,Y,0,0,0,0,0,0,None,None,None,0,11,2008,WD ,131500,256.42857142857144,2.0,3197.0,0,54
1378,905102170,20,RL,70.0,11200,1,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,1040.0,GasA,Ex,1,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,TA,Typ,0,None,Detchd,Unf,384.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,2,2008,WD ,129500,208.0,2.0,2464.0,0,43
1537,909281110,70,RL,100.0,9670,1,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,0.0,398.0,608.0,GasA,TA,1,SBrkr,983,890,0,1873,0.0,0.0,1,1,4,1,TA,Typ,2,Gd,Detchd,Fin,786.0,Fa,TA,Y,0,0,207,0,0,0,None,None,None,0,6,2008,WD ,257076,208.11111111111111,2.0,3267.0,0,73
